aphia_id,species,sex,spatial_scale,ices_stock,ices_area,time_period,sample_size,l25_cm,l25_se_cm,l25_ci_lower_cm,l25_ci_upper_cm,l50_cm,l50_se_cm,l50_ci_lower_cm,l50_ci_upper_cm,l75_cm,l75_se_cm,l75_ci_lower_cm,l75_ci_upper_cm,model_auc,model_tjur_r2
126441,Pollachius virens,M,Global,NA,NA,2025-2029,698,43.34,0.62,41.98,44.45,49.69,0.73,48.53,51.23,56.04,1.17,54.15,58.68,0.79,0.28
127160,Solea solea,M,Global,NA,NA,2005-2009,736,19.52,0.26,18.99,20.05,20.74,0.2,20.37,21.18,21.96,0.19,21.61,22.39,0.99,0.8
126986,Mullus surmuletus,F,Global,NA,NA,2010-2014,114,12.26,0.86,9.9,13.39,14.08,0.55,12.87,14.98,15.9,0.55,14.78,17.08,0.88,0.38
126986,Mullus surmuletus,M,Global,NA,NA,2010-2014,94,13.55,0.43,12.8,14.45,14.96,0.37,14.3,15.68,16.36,0.47,15.4,17.19,0.9,0.46
126555,Lophius piscatorius,M,Global,NA,NA,2010-2014,151,39.92,1.41,37.12,42.51,44.55,1.06,42.46,46.68,49.18,1.38,46.91,51.54,0.96,0.68
126555,Lophius piscatorius,F,Global,NA,NA,2010-2014,180,44.56,2.28,40.18,48.57,53.48,1.63,50.1,56.83,62.41,2.34,57.88,66.85,0.91,0.6
126986,Mullus surmuletus,M,Global,NA,NA,2015-2019,162,12.16,0.9,10.16,13.69,15.37,0.58,14.21,16.44,18.58,0.82,17.29,20.45,0.82,0.28
126555,Lophius piscatorius,M,Global,NA,NA,2015-2019,217,37.71,1.22,35.42,40.14,41.42,0.96,39.8,43.29,45.13,1.15,42.9,47.35,0.98,0.77
126555,Lophius piscatorius,F,Global,NA,NA,2015-2019,177,29.88,3.21,22.61,35.79,42.15,2.44,37.46,46.86,54.42,3.35,47.53,61.11,0.88,0.42
126975,Dicentrarchus labrax,M,Global,NA,NA,2015-2019,379,22.44,4.75,12.04,26.73,27.02,3.33,19.39,29.85,31.6,2.02,27.04,33.46,0.84,0.16
126975,Dicentrarchus labrax,F,Global,NA,NA,2015-2019,395,24.07,2.26,18.5,27.66,27.56,1.62,23.8,30.1,31.06,1.11,28.68,32.69,0.92,0.23
126986,Mullus surmuletus,F,Global,NA,NA,2020-2024,547,13.73,0.45,12.87,14.46,17.94,0.38,17.18,18.65,22.15,0.77,20.93,23.58,0.8,0.27
126986,Mullus surmuletus,M,Global,NA,NA,2020-2024,390,13.26,0.42,12.35,13.92,15.84,0.29,15.29,16.41,18.42,0.47,17.53,19.29,0.86,0.37
126555,Lophius piscatorius,F,Global,NA,NA,2020-2024,427,37.33,1.57,34.79,40.42,49.81,1.41,47.25,52.48,62.29,2,58.91,66.11,0.86,0.41
126555,Lophius piscatorius,M,Global,NA,NA,2020-2024,436,35.64,1.08,34.09,38.02,41.15,0.97,39.61,43.32,46.66,1.1,44.92,49.1,0.95,0.64
126975,Dicentrarchus labrax,F,Global,NA,NA,2020-2024,922,25.8,1.31,22.53,27.76,29.1,0.88,26.78,30.4,32.41,0.53,31.19,33.28,0.93,0.29
126975,Dicentrarchus labrax,M,Global,NA,NA,2020-2024,945,26.24,0.9,24.56,27.83,30.07,0.57,29.04,30.98,33.89,0.38,33.24,34.56,0.89,0.31
126986,Mullus surmuletus,M,Global,NA,NA,2025-2029,129,13.03,0.59,11.59,13.93,14.77,0.38,14.14,15.54,16.51,0.51,15.73,17.53,0.82,0.3
126986,Mullus surmuletus,F,Global,NA,NA,2025-2029,198,13.2,0.67,11.91,14.22,16.51,0.54,15.66,17.58,19.82,0.89,18.78,21.81,0.76,0.23
126555,Lophius piscatorius,F,Global,NA,NA,2025-2029,116,43.4,2.52,39.07,47.78,52.74,2.55,48.51,58.27,62.09,3.67,56.32,70.5,0.86,0.43
126555,Lophius piscatorius,M,Global,NA,NA,2025-2029,106,39.42,1.33,37.25,42.88,43.28,1.55,41.62,47.47,47.15,2.15,44.2,52.22,0.97,0.71
126975,Dicentrarchus labrax,M,Global,NA,NA,2025-2029,364,19.72,2.09,15.24,23.05,26.02,1.35,22.96,28.05,32.32,0.88,30.42,33.58,0.83,0.23
